Sample,google_asr,viettelai_asr,bleu_google,inverted_wer_google,bleu_viettelai,inverted_wer_viettelai,inverted_cer_google,inverted_cer_viettelai,inverted_mer_google,inverted_mer_viettelai
"giới thiệu cho tôi những bộ phim hài kịch khác, tương tự như trong Cả Ngố","giới thiệu cho tôi những bộ phim hài kịch khác, tương tự như trong Cả Ngố",giới thiệu cho tôi những bộ phim hài kịch khót tương tự như trong cả mối,1.0,1.0,0.6941268297866865,0.875,1.0,0.875,1.0,0.875
"Tôi rất thích phim The Midnight Studio, đề xuất cho tôi một số phim kinh dị như vậy được không?","Tôi rất thích phim The Midnight Studio, đề xuất cho tôi một số phim kinh dị như vậy được không?",tôi rất thích phim the smith na ti đi đề xuất cho tôi 1 số phim kinh dị như vậy được không,1.0,1.0,0.45962336436027607,0.75,1.0,0.75,1.0,0.7727272727272727
"Tôi vừa xem xong bộ phim Pig In The City, gợi ý cho tôi phim tương tự nhé","Tôi vừa xem xong bộ phim Pig In The City, gợi ý cho tôi phim tương tự nhé",tôi vừa xem xong bộ bích in the ct gợi ý cho tôi tương tự nhé,1.0,1.0,0.37655229569799775,0.7777777777777778,1.0,0.7777777777777778,1.0,0.7777777777777778
Bạn có thể gợi ý cho tôi những bộ phim Thái Lan giống như phim Club Friday Celeb,Bạn có thể gợi ý cho tôi những bộ phim Thái Lan giống như phim club Friday celes,bạn có thể gợi ý cho tôi những bộ phim thái lan giống như phim lắp rai đây xe lép,0.839058379313322,0.9444444444444444,0.4965432652558922,0.7222222222222222,0.9444444444444444,0.7222222222222222,0.9444444444444444,0.75
"Bạn có thể chia sẻ với tôi một vài bộ phim Việt Nam khác, ngoài '70 Năm Điện Biên Phủ' không?",Bạn có thể chia sẻ với tôi một vài bộ phim Việt Nam khác ngoài 75 Điện Biên Phủ không?,có thể chia sẻ với tôi 1 vài bộ phim việt nam khác ngoài 70 năm điện biên phủ không,0.6584934715452379,0.9047619047619048,0.32740782798462087,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
"Trên TV360, có những bộ phim nào phổ biến nhất hiện nay? ","Trên TV360, có những bộ phim nào phổ biến nhất hiện nay? ",v360 có những bộ phim nào phổ biến nhất hiện nay,1.0,1.0,0.7335504282888226,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334
Các thể loại phim nào đang được ưa chuộng nhất trên nền tảng TV360 hiện nay? ,có thể loại phim nào đang được ưa chuộng nhất trên nền tảng TV360 hiện nay,phim nào đang được chuộng nhất trên nền tảng tv360 hiện nay,0.8684210709384692,0.9375,0.4227870589521896,0.75,0.9375,0.75,0.9375,0.75
cho tôi biết về những bộ phim hot nhất trên TV360,cho tôi biết về những bộ phim hot nhất trên ti vi 360,những bộ phim hót nhất trên tv360,0.7537337552151732,0.7272727272727273,0.22935984622879094,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.7692307692307692,0.5454545454545454
Bạn có thể cho tôi biết những bộ phim mới nhất đang được TV360 phát hành không? ,bạn có thể cho tôi biết những bộ phim mới nhất đang được ti vi360 phát hành không,bạn có thể cho tôi biết những bộ phim mới nhất đang được tv 360 phát hành không,0.6903789478903535,0.8823529411764706,0.6903789478903535,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8888888888888888,0.8888888888888888
TV360 có những phim mới nào được khán giả ưa chuộng gần đây?,tivi 360 có những phim mới nào được khán giả ưa chuộng gần đây,có những phim mới nào được khán giả ưa chuộng gần đây,0.7725236833373853,0.8461538461538461,0.8377741750249601,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.8571428571428572,0.9230769230769231
